Pairs,Sharpe,Simple_rtn,STD,Trading_times,Holding_days,Total_days,Comm
MA_20 MA_30,-0.12904559355248035,0.022896645365141133,0.009750600831977216,218.0,2916.0,4936.0,0.0
MA_20 MA_31,-0.1582281966095197,0.1486774553635879,0.009754799726509207,202.0,2934.0,4936.0,0.0
MA_20 MA_32,0.13792191665622916,0.09943439933504816,0.009950751964744802,190.0,2954.0,4936.0,0.0
MA_20 MA_33,0.21150908005447502,0.19413098308897236,0.010014200760031613,194.0,2967.0,4936.0,0.0
MA_20 MA_34,0.2320568568110393,0.28610906562522764,0.010044646842539516,176.0,2978.0,4936.0,0.0
MA_20 MA_35,0.4714328705473565,0.5073945356165008,0.010242412832671594,168.0,2993.0,4936.0,0.0
MA_20 MA_36,0.4907481962493159,0.41724591469256733,0.010243662441817809,166.0,2994.0,4936.0,0.0
MA_20 MA_37,0.26773155463814946,0.3438637053367464,0.010458699693330027,158.0,2995.0,4936.0,0.0
MA_20 MA_38,0.383099813699248,0.46923586404255935,0.010520968813431326,154.0,3007.0,4936.0,0.0
MA_20 MA_39,0.4161419833169393,0.7452955184611618,0.010525419389787946,152.0,3010.0,4936.0,0.0
MA_20 MA_40,0.3762339280806101,0.5243050612773108,0.01052054882351824,146.0,3026.0,4936.0,0.0
MA_20 MA_41,0.37623392808060996,0.5330309162023976,0.010520548823518246,140.0,3028.0,4936.0,0.0
MA_20 MA_42,0.37623392808061157,0.6424590465317443,0.010520548823518237,138.0,3025.0,4936.0,0.0
MA_20 MA_43,0.6206312527815722,0.7101971231345601,0.010449816024605098,134.0,3026.0,4936.0,0.0
MA_20 MA_44,0.6206312527815739,0.7627953332615585,0.01044981602460509,128.0,3033.0,4936.0,0.0
MA_20 MA_45,0.6600664139579872,0.8328659166413361,0.010455493708079213,132.0,3038.0,4936.0,0.0
MA_20 MA_46,0.43528917341584683,0.7402438071185933,0.01021900741137102,130.0,3039.0,4936.0,0.0
MA_20 MA_47,0.1762472585499372,0.5341392344991989,0.010268706326768436,126.0,3038.0,4936.0,0.0
MA_20 MA_48,0.24270288850299954,0.6539983909572984,0.010289175319824716,126.0,3037.0,4936.0,0.0
MA_20 MA_49,0.32872448640739915,0.5623931855914166,0.010306003609755384,120.0,3048.0,4936.0,0.0
MA_20 MA_50,0.204229749623187,0.4831095631364348,0.010325480586071715,118.0,3058.0,4936.0,0.0
MA_20 MA_51,0.20422974962318555,0.579089199527292,0.010325480586071719,116.0,3069.0,4936.0,0.0
MA_20 MA_52,0.3025370828037025,0.8003007110508895,0.010271012204530056,118.0,3091.0,4936.0,0.0
MA_20 MA_53,0.30253708280370406,0.8661067648784575,0.01027101220453005,110.0,3122.0,4936.0,0.0
MA_20 MA_54,0.34174022482922,0.8736352694720184,0.01027754005857075,112.0,3133.0,4936.0,0.0
MA_20 MA_55,0.4062058644325448,0.9504282160023065,0.01025822656329476,108.0,3133.0,4936.0,0.0
MA_20 MA_56,0.3920507591874084,0.9722449867739078,0.010267407814984236,104.0,3153.0,4936.0,0.0
